"Teryt";"Kod kraju";"Województwo";"Kod gm.";"Gmina";"Typ gminy";"Okręg do Sejmu nr";"Okręg do Senatu nr";"Nr obwodu";"Adres obwodu";"Typ obwodu";"Przystosowany dla niepełnosprawnych";"Granice obwodu"
"140000";"RU";"mazowieckie";"149901";"Zagranica";;"";"44";"162";"Sankt Petersburg, Konsulat Generalny RP, 5 Sowietskaja 12 14, Sankt Petersburg 191036 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Federacja Rosyjska"
"140000";"RO";"mazowieckie";"149901";"Zagranica";;"";"44";"163";"Bukareszt, Ambasada RP, sektor 1 Aleea Alexandru 23 , Bukareszt 011821 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Rumunia"
"140000";"RS";"mazowieckie";"149901";"Zagranica";;"";"44";"164";"Belgrad, Ambasada RP, Kneza Miloša 38 , Belgrad 11000 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Serbii"
"140000";"SG";"mazowieckie";"149901";"Zagranica";;"";"44";"165";"Singapur, Ambasada RP, Orchard Road 435 17-02/03, Singapore 238877 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Singapuru"
"140000";"SK";"mazowieckie";"149901";"Zagranica";;"";"44";"166";"Bratysława, Ambasada RP, Hummelova 4 , Bratysława 81491 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Słowacka"
"140000";"SI";"mazowieckie";"149901";"Zagranica";;"";"44";"167";"Lublana, Ambasada RP, Bežigrad 10 , Ljubljana ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Słowenii"
"140000";"US";"mazowieckie";"149901";"Zagranica";;"";"44";"168";"Waszyngton, Ambasada RP, 16th Street NW 2640 , Washington DC 20009 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Stany Zjednoczone Ameryki"
"140000";"US";"mazowieckie";"149901";"Zagranica";;"";"44";"169";"Pompano Beach, Polska Misja Katolicka, NE 12th Street 2400 , Pompano Beach FL 33062 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Stany Zjednoczone Ameryki"
"140000";"US";"mazowieckie";"149901";"Zagranica";;"";"44";"170";"Lawrenceville, Parafia St. Marguerite D'Youville, Gloster Rd NW 85 , Lawrenceville GA 30044 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Stany Zjednoczone Ameryki"
"140000";"US";"mazowieckie";"149901";"Zagranica";;"";"44";"171";"Nowy Jork, Konsulat Generalny RP, Madison Avenue 233 , New York NY 10016 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Stany Zjednoczone Ameryki"
"140000";"US";"mazowieckie";"149901";"Zagranica";;"";"44";"172";"Nowy Jork, Centrum Polsko-Słowiańskie, Brooklyn, Kent Street 177 , New York NY 11222 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Stany Zjednoczone Ameryki"
"140000";"US";"mazowieckie";"149901";"Zagranica";;"";"44";"173";"Polski Dom Narodowy, Brooklyn, Driggs Avenue 216 , New York NY 11222 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Stany Zjednoczone Ameryki"
"140000";"US";"mazowieckie";"149901";"Zagranica";;"";"44";"174";"Nowy Jork, Centrum Parafialne Parafii Św. Alojzego, Onderdonk Avenue 382 , Ridgewood NY 11385 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Stany Zjednoczone Ameryki"
"140000";"US";"mazowieckie";"149901";"Zagranica";;"";"44";"175";"Nowy Jork, Polsko-Amerykańskie Centrum Kulturalne, Passaic, Monroe Street 1-3 , New York NY 07055 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Stany Zjednoczone Ameryki"
"140000";"US";"mazowieckie";"149901";"Zagranica";;"";"44";"176";"Polska Fundacja Kulturalna, Clark, Brodway 177 , New York NY 07066 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Stany Zjednoczone Ameryki"
